player_name,team,position,shooter_id,mu_theta,theta_latest,theta_min,theta_max,shots_taken,goals_actual,goals_xg_only,fsax_raw,goalie_difficulty_adj,fsax
Tyler Tullio,,R,8482151,-2.1436584063394548e-08,-0.0002330978459212929,-0.00031228456646203995,-0.00023288733791559935,2.0,0.0,0.219,-0.219,0.0,-0.0001
Brendan Brisson,NYR,C,8482153,-8.330468403983105e-08,-0.0013694516383111477,-0.0013694516383111477,-0.0008154493407346308,7.0,0.0,0.444,-0.444,0.016,-0.0005
Alex Jefferies,NYI,L,8482154,-1.907380742238729e-08,-0.0006168362451717257,-0.0006896990817040205,-0.0006166203529573977,2.0,0.0,0.391,-0.391,0.004,-0.0002
Alex Laferriere,LAK,R,8482155,-1.0558823305473197e-05,-0.007331205997616053,-0.007331205997616053,-0.004819364286959171,234.0,14.0,19.436,-5.436,0.039,-0.0928
Will Cuylle,NYR,L,8482157,-3.789577007751177e-08,-0.009066848084330559,-0.009066848084330559,-0.0061990986578166485,185.0,12.0,17.764,-5.764,-0.03,-0.1077
Topi Niemela,TOR,D,8482158,-4.559713318030845e-08,0.00021908375492785126,0.00014004443073645234,0.00021949720394331962,,,,,,
Tyson Foerster,PHI,R,8482159,4.304771209717728e-06,0.01831488125026226,0.013366935774683952,0.01835136115550995,61.0,10.0,5.571,4.429,0.023,0.0679
Martin Chromiak,LAK,R,8482160,-6.043926987331361e-06,0.0025167851708829403,0.0023466157726943493,0.0025167851708829403,2.0,1.0,0.141,0.859,0.0,0.0003
Roby Jarventie,EDM,L,8482162,-1.623790879534681e-08,-0.00038875057362020016,-0.00046292797196656466,-0.00038851535646244884,4.0,0.0,0.294,-0.294,-0.002,-0.0001
Eemil Viro,DET,D,8482163,-2.5484234811301576e-06,0.00021696426847483963,0.00013796344865113497,0.00022021523909643292,,,,,,
Yan Kuznetsov,CGY,D,8482165,3.8954462979745585e-06,0.005368370097130537,0.003415412036702037,0.005511007271707058,74.0,4.0,3.23,0.77,0.001,0.0123
Shakir Mukhamadullin,SJS,D,8482166,3.870963701047003e-05,0.011250942945480347,0.006528554018586874,0.011250942945480347,41.0,4.0,1.749,2.251,-0.012,0.0125
Bogdan Trineyev,WSH,R,8482167,3.578505314294489e-08,0.0009530396200716496,0.0009445140021853149,0.0011588658671826124,10.0,1.0,0.716,0.284,0.001,0.0005
Maxim Groshev,TBL,D,8482168,1.4749704568828292e-08,0.0019259783439338207,0.00180729734711349,0.001926195458509028,5.0,1.0,0.396,0.604,0.005,0.0005
Helge Grans,PHI,D,8482169,-7.129820005502552e-05,6.116903387010098e-05,-3.722404653672129e-05,6.138627941254526e-05,3.0,0.0,0.072,-0.072,0.001,-0.0
William Wallinder,DET,D,8482171,-7.210438070615055e-06,-0.00016153496108017862,-0.00023032726312521845,-0.00015616999007761478,5.0,0.0,0.171,-0.171,0.002,-0.0001
