player_name,team,position,goalie_id,shots_faced,goals_actual,goals_xg_only,gsax_raw,shooter_adj,goals_model_predicted,gsax,sv_pct,xgsv_pct
Charlie Lindgren,WSH,G,8479292,997,77.0,86.9162368774414,9.92,0.17,73.54405975341797,-0.9756892919540405,0.9228,0.9128
Elvis Merzlikins,CBJ,G,8478007,1224,91.0,103.26473999023438,12.26,0.07,87.07147216796875,-0.9883829355239868,0.9257,0.9156
Linus Ullmark,OTT,G,8476999,1727,125.0,142.189697265625,17.19,0.17,119.62899780273438,-1.0097135305404663,0.9276,0.9177
Jonathan Quick,NYR,G,8471734,1029,73.0,82.37097930908203,9.37,-0.02,69.57827758789062,-1.0312994718551636,0.9291,0.92
Vitek Vanecek,UTA,G,8477970,789,62.0,66.25357055664062,4.25,0.06,56.24631118774414,-1.0461457967758179,0.9214,0.916
Joseph Woll,TOR,G,8479361,1755,117.0,136.84474182128906,19.84,-0.06,115.03390502929688,-1.1487287282943726,0.9333,0.922
Ville Husso,ANA,G,8478024,737,60.0,63.098209381103516,3.1,0.06,53.837669372558594,-1.173719048500061,0.9186,0.9144
Arturs Silovs,PIT,G,8481668,1559,112.0,129.1656494140625,17.17,-0.02,108.96844482421875,-1.3580807447433472,0.9282,0.9171
Arvid Soderblom,CHI,G,8482821,1141,92.0,101.22871398925781,9.23,0.1,85.98174285888672,-1.5537739992141724,0.9194,0.9113
Juuse Saros,NSH,G,8477424,2432,177.0,207.3762664794922,30.38,0.09,174.44207763671875,-1.6110025644302368,0.9272,0.9147
Tristan Jarry,EDM,G,8477465,1342,99.0,111.1280517578125,12.13,0.21,94.36939239501953,-1.6442921161651611,0.9262,0.9172
Darcy Kuemper,LAK,G,8475311,1815,129.0,149.11260986328125,20.11,0.19,126.02053833007812,-1.6481331586837769,0.9289,0.9178
Connor Hellebuyck,WPG,G,8476945,2278,162.0,190.2469482421875,28.25,0.14,160.20428466796875,-1.6484994888305664,0.9289,0.9165
Cam Talbot,DET,G,8475660,1223,92.0,100.71270751953125,8.71,0.06,85.70447540283203,-1.8302284479141235,0.9248,0.9177
Adin Hill,VGK,G,8478499,931,75.0,74.03815460205078,-0.96,0.11,64.14378356933594,-2.3529458045959473,0.9194,0.9205
Leevi Meriläinen,OTT,G,8482447,722,72.0,57.72431564331055,-14.28,0.05,51.14649963378906,-3.0250356197357178,0.9003,0.92
Samuel Ersson,PHI,G,8481035,1294,107.0,109.57135009765625,2.57,0.08,94.594482421875,-3.2590205669403076,0.9173,0.9153
Jacob Markstrom,NJD,G,8474593,1599,124.0,131.91403198242188,7.91,0.11,113.43877410888672,-3.450521945953369,0.9225,0.9175
Sergei Bobrovsky,FLA,G,8475683,1858,145.0,153.19781494140625,8.2,0.19,133.016845703125,-5.2538909912109375,0.922,0.9175
Jordan Binnington,STL,G,8476412,1553,128.0,125.3290023803711,-2.67,0.07,110.34895324707031,-5.882748603820801,0.9176,0.9193
Kevin Lankinen,VAN,G,8480947,1884,155.0,164.051513671875,9.05,0.16,142.81655883789062,-6.01871919631958,0.9177,0.9129
Yaroslav Askarov,SJS,G,8482137,1944,156.0,160.1795654296875,4.18,-0.05,140.11715698242188,-6.793803691864014,0.9198,0.9176
