shooter_id,player_name,team,hex_q,hex_r,hex_x,hex_y,shots,goals,xg_sum,irt_xg_sum,deviation,dev_per_shot
8475184,Chris Kreider,ANA,3,0,67.5,38.97,1,1,0.0668838,0.07350649215613335,0.9265,0.9265
8475184,Chris Kreider,ANA,4,-2,90.0,0.0,10,1,1.264340874,1.1293518955222437,-0.1294,-0.0129
8475191,Reilly Smith,VGK,2,-1,45.0,0.0,1,0,0.10051777,0.09742165988784109,-0.0974,-0.0974
8475191,Reilly Smith,VGK,3,-3,67.5,-38.97,1,0,0.10505593,0.09990177203699313,-0.0999,-0.0999
8475191,Reilly Smith,VGK,3,-2,67.5,-12.99,1,0,0.1799044,0.14280409818949139,-0.1428,-0.1428
8475200,Dmitry Orlov,SJS,1,1,22.5,38.97,1,0,0.019530399,0.03254757075627763,-0.0325,-0.0325
8475200,Dmitry Orlov,SJS,2,-1,45.0,0.0,1,0,0.06544206,0.0722796936818489,-0.0723,-0.0723
8475200,Dmitry Orlov,SJS,2,0,45.0,25.98,1,0,0.02680907,0.04004878061764909,-0.04,-0.04
8475208,Brian Dumoulin,LAK,4,-3,90.0,-25.98,1,0,0.06774985,0.07470223100032691,-0.0747,-0.0747
8475218,Mattias Ekholm,EDM,1,1,22.5,38.97,1,0,0.4885669,0.307919874011331,-0.3079,-0.3079
8475218,Mattias Ekholm,EDM,3,-2,67.5,-12.99,1,0,0.17985976,0.14410475346303364,-0.1441,-0.1441
8475218,Mattias Ekholm,EDM,4,-1,90.0,25.98,1,0,0.026100872,0.03980230505826645,-0.0398,-0.0398
8475220,Marcus Foligno,MIN,0,0,0.0,0.0,1,0,0.008695854,0.019333989383886058,-0.0193,-0.0193
8475220,Marcus Foligno,MIN,3,-2,67.5,-12.99,1,1,0.054212485,0.06499425551255517,0.935,0.935
8475220,Marcus Foligno,MIN,4,-2,90.0,0.0,1,0,0.23997033,0.17728870242967873,-0.1773,-0.1773
8475231,Casey Cizikas,NYI,4,-2,90.0,0.0,1,0,0.14469057,0.12490992286138401,-0.1249,-0.1249
8475231,Casey Cizikas,NYI,4,-1,90.0,25.98,2,0,0.103827512,0.11981900158187445,-0.1198,-0.0599
8475287,Erik Haula,NSH,2,-2,45.0,-25.98,1,0,0.018019656,0.031342844849802654,-0.0313,-0.0313
8475287,Erik Haula,NSH,2,1,45.0,51.96,1,0,0.017828956,0.03126961347445367,-0.0313,-0.0313
8475287,Erik Haula,NSH,3,-3,67.5,-38.97,1,0,0.057208695,0.06703885422646033,-0.067,-0.067
8475287,Erik Haula,NSH,3,-2,67.5,-12.99,1,0,0.17050113,0.13911379943958596,-0.1391,-0.1391
8475287,Erik Haula,NSH,3,0,67.5,38.97,1,0,0.07228803,0.07980607283178522,-0.0798,-0.0798
8475287,Erik Haula,NSH,4,-2,90.0,0.0,7,1,1.36408803,1.0609886968206264,-0.061,-0.0087
8475287,Erik Haula,NSH,4,-1,90.0,25.98,1,0,0.12209564,0.11077923204391123,-0.1108,-0.1108
8475314,Anders Lee,NYI,3,-2,67.5,-12.99,2,0,0.074921161,0.09938038505310207,-0.0994,-0.0497
8475314,Anders Lee,NYI,3,-1,67.5,12.99,1,0,0.05709044,0.06614799329579112,-0.0661,-0.0661
8475314,Anders Lee,NYI,4,-2,90.0,0.0,8,0,0.892842414,0.8219051167701088,-0.8219,-0.1027
8475343,Nic Dowd,WSH,3,-1,67.5,12.99,1,1,0.093048714,0.09002185182380022,0.91,0.91
